,Year,Julian-Day,Volume,Estimated Volume Lower,Estimated Volume,Estimated Volume Upper,CIF,CIF_Lower,CIF_Upper,Uncertainty_Lower,Uncertainty_Upper,Estimated,Absolute_Error,Percent_Error
0,2019.0,161.0,2313.0,2688.0,3311.0,3808.0,34423.0,31001.0,36926.0,18.82,15.01,No,-998.0,43.15
1,2019.0,172.0,83123.0,56465.0,65327.0,73043.0,102231.0,95049.0,108096.0,13.57,11.81,No,17796.0,21.41
2,2019.0,182.0,73144.0,71967.0,79111.0,87248.0,55340.0,52836.0,58055.0,9.03,10.29,Yes,-5967.0,8.16
3,2019.0,196.0,9869.0,4432.0,5141.0,5639.0,28702.0,26652.0,30060.0,13.79,9.69,No,4728.0,47.910000000000004
4,2019.0,207.0,29077.0,25188.0,28183.0,30634.0,67166.0,63499.0,70023.0,10.63,8.7,Yes,894.0,3.0700000000000003
5,2019.0,223.0,70705.0,30186.0,36293.0,41394.0,76213.0,69510.0,81390.0,16.83,14.06,No,34412.0,48.67
6,2019.0,232.0,21031.0,12215.0,14089.0,15615.0,47500.0,44230.0,50004.0,13.3,10.83,No,6942.0,33.01
7,2020.0,156.0,92424.0,102210.0,113787.0,124282.0,134898.0,127856.0,140978.0,10.17,9.22,No,-21363.0,23.11
8,2020.0,160.0,5872.0,9291.0,11483.0,13342.0,64264.0,57782.0,69292.0,19.09,16.19,No,-5611.0,95.56
9,2020.0,169.0,5053.0,10215.0,11907.0,13209.0,65444.0,60599.0,68943.0,14.21,10.93,No,-6854.0,135.64000000000001
10,2020.0,181.0,6612.0,6019.0,6946.0,7678.0,49930.0,46467.0,52507.0,13.35,10.54,Yes,-334.0,5.050000000000001
11,2020.0,243.0,95823.0,67940.0,81562.0,92631.0,171930.0,156861.0,183272.0,16.7,13.57,No,14261.0,14.879999999999999
12,2021.0,131.0,17741.0,11118.0,14409.0,17074.0,48035.0,42198.0,52286.0,22.84,18.5,No,3332.0,18.78
13,2021.0,136.0,18972.0,22991.0,29345.0,34472.0,68535.0,60668.0,74278.0,21.65,17.47,No,-10373.0,54.67999999999999
14,2021.0,142.0,18044.0,7221.0,8935.0,10262.0,37832.0,34012.0,40542.0,19.18,14.85,No,9109.0,50.480000000000004
15,2021.0,156.0,6127.0,4124.0,5617.0,6914.0,30001.0,25709.0,33283.0,26.58,23.09,Yes,510.0,8.32
16,2021.0,173.0,6175.0,6682.0,7811.0,8679.0,52961.0,48969.0,55838.0,14.45,11.11,No,-1636.0,26.490000000000002
17,2021.0,175.0,114424.0,121300.0,142030.0,158600.0,73683.0,68210.0,77770.0,14.6,11.67,No,-27606.0,24.13
18,2021.0,187.0,76906.0,72911.0,86179.0,97157.0,57706.0,53174.0,61192.0,15.4,12.74,Yes,-9273.0,12.06
19,2021.0,194.0,50861.0,45871.0,62468.0,76185.0,49301.0,42388.0,54329.0,26.57,21.96,Yes,-11607.0,22.82
20,2021.0,197.0,80880.0,60005.0,67287.0,73795.0,156103.0,147381.0,163507.0,10.82,9.67,No,13593.0,16.81
21,2021.0,219.0,38737.0,43714.0,48732.0,52721.0,88305.0,83638.0,91846.0,10.3,8.19,No,-9995.0,25.8
22,2021.0,262.0,8538.0,15103.0,18812.0,21976.0,82333.0,73741.0,89015.0,19.72,16.82,No,-10274.0,120.33
23,2022.0,156.0,39498.0,20080.0,23939.0,26970.0,61905.0,56700.0,65705.0,16.12,12.66,No,15559.0,39.39
24,2022.0,185.0,115963.0,186336.0,215875.0,242390.0,90431.0,84150.0,95704.0,13.68,12.28,No,-99912.0,86.16
25,2023.0,153.0,4873.0,13803.0,16388.0,18196.0,76825.0,70482.0,80970.0,15.77,11.03,No,-11515.0,236.3
26,2023.0,161.0,18534.0,23674.0,27698.0,30494.0,99980.0,92403.0,104925.0,14.53,10.09,No,-9164.0,49.44
27,2023.0,193.0,119088.0,61277.0,71603.0,79480.0,52705.0,48839.0,55466.0,14.42,11.0,No,47485.0,39.87
