,Event_Date,Year,Julday,Volume,Velocity,Duration,Density
0,2019-06-10,2019,161,2313.0,0.87,26.0,1682
1,2019-06-10,2019,161,5584.0,2.48,21.0,1568
2,2019-06-21,2019,172,83123.0,6.62,43.0,1870
3,2019-07-02,2019,183,73144.0,3.86,52.0,1827
4,2019-07-03,2019,184,4959.0,0.79,56.0,1917
5,2019-07-15,2019,196,9869.0,3.39,26.0,2191
6,2019-07-26,2019,207,29077.0,8.69,37.0,2223
7,2019-08-11,2019,223,70705.0,6.95,41.0,2323
8,2019-08-20,2019,232,21031.0,0.89,37.0,2031
9,2020-04-28,2020,119,21548.0,0.86,107.0,1656
10,2020-05-10,2020,131,5029.0,0.83,55.0,1685
11,2020-06-04,2020,156,92424.0,3.39,92.0,1773
12,2020-06-08,2020,160,5872.0,3.39,15.0,1495
13,2020-06-17,2020,169,5053.0,2.0,38.0,1862
14,2020-06-29,2020,181,6612.0,1.23,41.0,2066
15,2020-08-17,2020,230,1362.0,0.49,19.0,2240
16,2020-08-30,2020,243,95823.0,0.73,100.0,1777
17,2020-10-02,2020,276,5855.0,1.76,19.0,1620
18,2020-10-03,2020,277,7406.0,2.67,15.0,1235
19,2021-05-11,2021,131,17741.0,3.97,28.0,1675
20,2021-05-16,2021,136,18972.0,1.66,121.0,1455
21,2021-05-22,2021,142,18044.0,1.5,42.0,1669
22,2021-06-05,2021,156,6127.0,1.96,81.0,1602
23,2021-06-22,2021,173,6175.0,0.64,34.0,1749
24,2021-06-24,2021,175,114424.0,8.18,38.0,1628
25,2021-07-06,2021,187,76906.0,8.69,28.0,1605
26,2021-07-13,2021,194,,,53.0,1235
27,2021-07-13,2021,194,50861.0,2.84,97.0,1373
28,2021-07-16,2021,197,80880.0,2.78,77.0,1916
29,2021-08-07,2021,219,38737.0,2.32,46.0,1884
30,2021-09-19,2021,262,8538.0,1.25,43.0,1697
31,2022-06-05,2022,156,39498.0,3.39,55.0,1690
32,2022-06-30,2022,181,25471.0,2.0,53.0,1351
33,2022-07-04,2022,185,115963.0,8.18,68.0,1140
34,2022-09-08,2022,251,12958.0,1.91,48.0,987
35,2023-04-28,2023,118,79384.0,1.73,,1531
36,2023-04-29,2023,119,20951.0,4.22,,1664
37,2023-06-02,2023,153,4873.0,1.73,,1724
38,2023-06-10,2023,161,18534.0,2.02,,1787
39,2023-07-12,2023,193,119088.0,15.46,,1785
40,2023-07-13,2023,194,301099.0,10.7,,1342
41,2023-11-14,2023,318,103808.0,8.28,,1514
