Event start (UTC+1);Event end (UTC+1);Flow duration (min);Front velocity CD 28-29 (m/s);Front depth radar (m);Max flow depth radar (m);Mean bulk density radar (kg/m^3);Peak velocity* (quantile 0.99) radar CD 28-29 (m/s);Peak discharge* (quantile 0.99) radar CD 28-29 (m^3/s);Volume* radar CD 28-29 (m^3)
10.06.2019 19:40;10.06.2019 21:22;26;0.87;0.7;0.77;1682;0.89;3.76;2313
10.06.2019 23:21;11.06.2019 01:20;21;2.48;0.41;0.67;1568;3.24;12.08;5584
21.06.2019 21:44;22.06.2019 00:08;43;6.62;2.69;2.69;1740;6.57;147.61;105599
02.07.2019 01:26;02.07.2019 03:14;52;3.86;0.91;1.73;1827;5.38;65.58;73144
03.07.2019 00:50;03.07.2019 02:39;56;0.79;0.9;0.9;1917;0.74;3.5;4959
15.07.2019 06:28;15.07.2019 07:05;26;3.39;0.56;0.74;1993;3.92;16.54;11400
26.07.2019 19:46;26.07.2019 21:01;37;8.69;1.07;1.41;1820;9.98;93.26;95316
11.08.2019 19:07;11.08.2019 21:07;41;6.95;1.89;1.89;1781;6.92;95.63;73624
20.08.2019 19:03;20.08.2019 20:27;37;0.89;0.45;1.1;1872;1.36;8.06;7078
28.04.2020 19:33;28.04.2020 22:22;107;0.86;0.52;1.65;1656;1.43;12.5;21548
10.05.2020 06:06;10.05.2020 07:24;55;0.83;0.63;0.99;1685;0.98;4.96;5029
04.06.2020 17:18;04.06.2020 19:15;92;3.39;0.68;1.84;1773;5.65;72.05;92424
08.06.2020 20:11;08.06.2020 21:19;15;3.39;0.32;0.62;1495;4.29;11.22;5872
17.06.2020 02:57;17.06.2020 02:57;38;2;0.89;0.89;1862;2;10.74;5053
29.06.2020 07:36;29.06.2020 08:38;41;1.23;1.13;1.15;1783;1.23;8.74;8937
17.08.2020 01:16;17.08.2020 02:08;19;0.49;0.3;0.71;1692;0.81;3.31;1956
30.08.2020 08:03;30.08.2020 13:58;100;0.73;1.09;1.89;1588;8.7;118;108407
02.10.2020 22:13;02.10.2020 23:30;19;1.76;0.32;0.81;1620;2.96;13.74;5855
03.10.2020 07:15;03.10.2020 09:49;15;2.67;0.32;0.77;1235;4.38;19.39;7406
11.05.2021 16:23;11.05.2021 18:46;28;3.97;0.89;0.89;1675;3.92;20.45;17741
16.05.2021 18:50;16.05.2021 22:16;121;1.66;1.06;1.18;1455;1.68;11.53;18972
22.05.2021 01:10;22.05.2021 02:47;42;1.5;0.37;1.13;1669;2.78;19.58;18044
05.06.2021 11:11;05.06.2021 11:11;81;1.96;0.26;0.47;1252;2.74;6.83;7963
22.06.2021 22:06;22.06.2021 23:58;34;0.64;1.05;1.23;1749;0.68;5.26;6175
24.06.2021 17:11;24.06.2021 19:49;38;8.18;2.49;2.49;1628;8.1;162.2;114424
06.07.2021 20:43;06.07.2021 22:27;28;8.69;2.58;2.58;1489;8.67;186.61;81905
13.07.2021 08:28;13.07.2021 11:03;53;;0.22;0.55;1235;;;
13.07.2021 17:58;13.07.2021 20:48;97;2.84;0.26;1.2;1373;6.35;42.19;50861
16.07.2021 05:43;16.07.2021 08:01;77;2.78;1.65;2.44;1717;3.3;60.7;93833
07.08.2021 16:22;07.08.2021 17:46;46;2.32;1.45;2.17;1673;2.74;41.19;45299
19.09.2021 08:57;19.09.2021 13:46;43;1.25;0.97;1.22;1527;1.39;10.67;9791
05.06.2022 12:33;05.06.2022 13:53;55;3.39;1.25;2.15;1366;4.32;64.96;53958
30.06.2022 21:52;30.06.2022 22:45;53;2;0.95;1.6;1351;2.64;29.6;25471
04.07.2022 22:54;05.07.2022 00:13;68;8.18;2.6;2.6;1140;7.35;120.12;115963
08.09.2022 02:06;08.09.2022 03:05;48;1.91;1.77;1.77;987;1.83;21.16;12958
