Date,Velocity,Discharge,Rainfall,Flow_Depth,Flow_Volume,Mean_Density
2019-06-21,6.62,147.61,17.1,2.54,83123,1870
2019-07-15,3.39,16.54,6.5,0.72,9869,2191
2019-07-26,8.69,93.26,18.8,1.30,29077,2223
2019-08-11,6.95,95.63,17.6,1.79,70705,2323
2019-08-20,0.89,8.06,4.4,0.93,21031,2031
2020-06-29,1.23,8.74,9.4,1.11,6612,2066
2020-08-17,0.49,3.31,2.6,0.64,1362,2240
2020-08-30,0.73,13.05,10.4,1.56,95823,1777
2021-06-05,1.96,6.83,8.7,0.45,6127,1602
2021-07-06,8.69,186.61,9.4,2.55,76906,1605
2021-07-16,2.78,60.7,7.3,2.20,80880,1916
2021-08-07,2.32,41.19,12.2,1.90,38737,1884
2021-09-19,1.25,10.67,12,1.08,8538,1697
2022-06-05,3.39,64.96,1.8,1.96,39498,1690
2022-07-14,8.18,121.01,16.8,2.11,175929,1189
2023-06-02,1.73,8.84,0.2,0.87,4873,1724
2023-06-10,2.02,28.53,2.5,1.37,18534,1787
2023-07-12,15.46,170.21,4,1.47,119088,1785
