Model,Feature,Test,Val,Interval,RMSE,sMAPE,PCC
xLSTM,v1,161,172,5,17.410947392060198,73.79903477623473,0.7295707857040704
xLSTM,v1,172,232,5,58.49641997778207,91.33467352558033,0.8699961282279978
xLSTM,v1,182,223,5,87.17014491387562,79.33936609170327,0.17321018975636218
xLSTM,v1,183,161,5,35.756488646900635,84.72058474557899,0.7241900887878332
xLSTM,v1,196,183,5,33.0753988024495,73.60753876952566,0.6650573849320233
xLSTM,v1,207,172,5,56.06916345974971,67.05325156755242,0.5763201525663627
xLSTM,v1,223,161,5,44.41574744014012,68.58347910532825,0.7929023051017913
xLSTM,v1,232,161,5,22.38741372407353,59.01897939515356,0.8709981315359497
xLSTM,v1,161,182,15,17.181759918089067,68.7275494941417,0.6844573271210784
xLSTM,v1,172,182,15,57.63749952254995,74.9496983459863,0.7913938554437844
xLSTM,v1,182,223,15,81.05696854090584,74.3250865135664,0.46905352812462
xLSTM,v1,183,172,15,31.48034899180305,91.99603049351548,0.7118506720970296
xLSTM,v1,196,161,15,17.959655356344303,27.56783972927425,0.7023715294711305
xLSTM,v1,207,172,15,44.55271642238582,40.72016575685574,0.7008643711277253
xLSTM,v1,223,232,15,48.86744765802488,69.69973663088912,0.719334236390351
xLSTM,v1,232,223,15,22.906765661102437,75.53098592477815,0.8313030160312694
xLSTM,v2,161,223,5,22.108047278105936,88.72226551172403,0.5104041551387226
xLSTM,v2,172,232,5,51.707597158092604,86.6751525105024,0.8804232481263647
xLSTM,v2,182,172,5,119.69398846131057,116.12988249437215,-0.033023390758814795
xLSTM,v2,183,196,5,37.937997712346366,96.177775339611,0.6012532991710042
xLSTM,v2,196,207,5,30.921827732173387,61.73935671449484,0.607220645379365
xLSTM,v2,207,196,5,55.619021491133196,78.93192988766599,0.5576666376570022
xLSTM,v2,223,182,5,54.76566620096841,82.84060439123002,0.7621470017227787
xLSTM,v2,232,161,5,22.983323689066264,82.10708221087215,0.9387390364969099
xLSTM,v2,161,172,15,19.97215395815455,78.31264613439873,0.6533334646573614
xLSTM,v2,172,232,15,50.54880614495713,84.85779931176496,0.8596241293026072
xLSTM,v2,182,196,15,100.8076935467618,90.54992042421638,-0.009095221042157266
xLSTM,v2,183,196,15,25.55408061249635,55.969134057876715,0.6541563775536676
xLSTM,v2,196,207,15,25.60807160136951,44.12900817339231,0.638622884725767
xLSTM,v2,207,183,15,46.371165515167185,68.47920884754133,0.5797445187675034
xLSTM,v2,223,196,15,52.10369974355034,99.9113495645538,0.734796668784028
xLSTM,v2,232,196,15,26.911318975655444,78.53005141020822,0.721519617631433
